Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
62.2,3.84,3.03,3.4,68.17,1625,1.64,0.75,2.05,10.27,1.04,11.54,607,3.1,1307,301,892,319,239,-385,161,477,-89.4,139,249.83,90.53,7.8
62.03,4.45,3.12,3.08,66.82,1568.33,3.66,0.21,2.11,10.11,1.03,11.38,621,3.16,1301,298,909,324,264,-396,158,501,-89.25,159,251.17,90.71,7.71
61.81,4.43,3.3,3.43,68.12,1656.67,1.95,2.64,2.11,10.05,1.04,11.42,617,3.17,1292,284,886,317,239,-390,155,476,-87.63,140,251.17,91.02,7.47
61.45,4.3,3.38,3.88,68.81,1926.67,2.01,4.08,2.09,10.18,1.03,13.83,617,3,1288,284,877,324,223,-388,157,467,-90,118,242.5,90.49,7.76
61.51,4.04,3.37,3.96,68.17,1865,4.64,6.3,2.14,10.31,1.05,13.79,610,3,1295,278,857,314,223,-397,150,468,-90,123,245.17,90.44,7.82
61.63,3.98,3.25,3.98,68.75,1850,1.82,4.63,2.08,10.39,1.03,14.67,607,3,1303,287,900,323,232,-384,158,461,-90,129,240.17,90.07,8.09
62.2,4.09,2.99,3.49,68.22,1613.33,1.22,0.18,2.03,10.38,1.04,12.21,617,3,1300,306,923,328,251,-377,164,471,-88.7,145,242.17,90.47,7.87
61.97,4.04,3.26,3.59,68.78,1681.67,3.66,0.41,2.11,10.24,1.04,11.33,613,3,1291,300,897,322,242,-382,159,468,-89.03,138,241.5,91.6,6.53
61.96,3.96,3.28,3.65,67.38,1648.33,2.33,4.18,2.09,10.24,1.05,7.67,621,3,1288,288,917,340,249,-396,155,487,-89.2,148,240,91.73,6.6
62.25,3.71,3.14,3.69,67.04,1538.33,2.97,5.69,2.1,10.29,1.05,11.71,621,3,1291,296,914,341,247,-395,154,487,-88.65,140,242.83,90.4,7.89
62.1,3.25,3.42,4.01,68.32,1666.67,2.97,8.71,2.14,10.45,1.04,12.46,611,3,1286,287,897,339,234,-398,153,479,-89.43,125,239.5,91,7.09
61.51,3.68,3.6,4.13,67.8,1658.33,3.75,1.17,2.16,10.42,1.03,12.71,606,3,1303,290,888,338,227,-395,151,472,-89.16,120,236,89.98,8.16
61.91,4.19,3.02,3.68,66.23,1500,3.57,3.53,2.11,10.26,1.05,11.67,625,3,1292,311,917,341,246,-395,160,502,-86.61,144,242,91.09,7.36
61.6,4.25,3.39,3.76,65.79,1451.67,4.49,0.14,2.05,10.2,1.04,10.92,633,3,1285,298,916,348,240,-395,157,500,-88.92,143,234.5,90.82,7.47
61.07,4.33,3.75,4.06,65.86,1525,1.96,8.47,2.12,10.44,1.06,10.67,614,3,1288,301,880,335,229,-392,158,484,-88.92,133,239.83,90.04,8.11
61.29,4.31,3.54,3.92,67.12,1531.67,3.72,4.37,2.16,10.24,1.01,10.5,611,3,1286,306,883,331,236,-394,160,492,-88.67,143,240.83,91.62,6.78
62.22,3.71,2.98,3.61,66.59,1473.33,2.04,0,2.1,10.22,1.02,10.92,627,3,1279,315,909,334,260,-387,162,499,-87.02,154,239.83,91.33,6.87
61.43,4.56,3.14,3.74,67.37,1705,2.83,7.66,2.13,10.33,1.05,12.88,624,3,1287,295,897,336,242,-399,157,487,-89.47,135,241,90.6,7.47
61.24,4.77,3.14,3.76,69.63,1923.33,2.55,9.84,2.15,10.6,1.03,13.42,621,3,1276,292,865,333,233,-396,156,479,-89.8,129,239.83,91.13,7.16
62.1,4.47,2.9,3.18,66.54,1793.33,1.05,0,2.12,10.16,1.05,10.88,620,3,1289,295,909,330,257,-396,161,499,-88.88,149,248.33,91.09,7.22
62.21,4.02,2.9,3.53,66.66,1683.33,4.04,4.01,2.11,10.31,1.05,10.29,616,3,1286,301,898,329,248,-392,160,490,-88.59,135,244.5,90.56,7.62
61.99,3.89,2.73,3.82,67.21,1735,2,1.59,2.1,10.34,1.04,12.04,620,3,1280,308,900,329,249,-386,162,487,-87.8,140,240,91.11,6.84
62.33,3.81,2.96,3.45,66.97,1553.33,2.71,1.51,2.13,10.27,1.03,11.29,611,3,1284,309,900,325,255,-392,160,498,-88.54,140,238.5,90.8,7.42
62.01,4.01,3.02,3.5,67.43,1538.33,2.54,4.78,2.16,10.24,1.02,12.33,612,3,1276,319,896,329,246,-385,164,495,-88.27,131,241.83,91.07,7.22
61.36,5.04,3.01,3.36,67.5,1628.33,2.5,0.6,2.16,10.21,1.05,11.25,599,3,1282,329,868,316,231,-381,170,489,-88.52,124,249.67,91.44,6.93
60.69,5.45,3.31,3.51,67.1,1746.67,5.82,9.03,2.16,10.4,1.05,12.13,602,3,1271,318,874,331,233,-390,167,498,-89.47,124,246.83,91.76,6.51
60.76,4.99,3.56,3.65,64.1,1630,4.99,4.34,2.16,10.37,1.04,12.21,597,3,1273,311,881,330,237,-395,164,504,-89.33,130,245.17,91.18,7.16
61.1,5.04,3.28,3.44,64.28,1765,0,0.5,2.16,10.3,1.02,11.21,603,3,1282,311,882,327,240,-400,164,509,-89.79,134,249.17,90.76,7.29
60.63,4.79,3.65,3.89,63.08,1683.33,2.5,0.33,2.16,10.3,1.04,12.33,597,3,1285,311,879,329,234,-392,164,492,-88.58,126,250,91.71,6.56
60.64,5.29,3.32,3.6,61.76,1623.33,5,3.73,2.16,10.32,1.04,12,598,3,1292,307,846,316,225,-401,158,501,-89.58,122,241.17,90.42,7.89
60.75,5.27,3.12,3.62,61.44,1543.33,2.91,0.64,2.16,10.22,1.02,11.04,603,3,1303,303,882,322,236,-394,159,488,-88.53,129,248.5,90.93,7.4
61.34,4.83,2.99,3.43,61.99,1560,3.12,3.55,2.15,10.22,1.04,12.21,603,3,1303,302,876,329,237,-398,157,497,-88.95,125,247.67,90.6,7.62
61.35,4.78,2.99,3.47,62.32,1658.33,3.68,0.92,2.12,10.32,1.03,12.96,622,3,1306,293,904,337,249,-399,155,502,-87.5,135,246.17,90.51,7.53
61.6,4.5,2.97,3.62,61.76,1528.33,1.47,0.04,2.13,10.24,1.03,12.92,624,3,1294,285,878,326,242,-409,151,507,-87.66,129,242,91.04,7.11
61.33,5.05,3.02,3.46,62.69,1695,1.31,1.99,2.13,10.27,1.04,12.71,609,3,1287,295,878,326,238,-391,154,483,-88.36,127,248.67,90.11,8.11
61.03,5.54,3.03,3.32,64.29,1851.67,1.06,1.46,2.03,10.4,1.04,12.79,633,3,1282,309,886,333,244,-400,159,499,-88.88,118,253,91.13,7.2
